web-scraper-order,web-scraper-start-url,link,link-href
"1589957602-14294","https://www.nytimes.com/search?dropmab=true&query=trump&sort=best","Election Watchdog, Dormant for Months, Can Finally Move Into ActionWith the confirmation of James E. Trainor III, the Federal Election Commission can function again. But warring ideologies among its members raise questions about what it can accomplish.By Rebecca R. RuizPRINT EDITIONElection Commission, Dormant for Months, Can Finally Get Back to Business|May 20, 2020, Page A22","https://www.nytimes.com/2020/05/19/us/federal-election-commission-.html?searchResultPosition=31"
"1589957602-14279","https://www.nytimes.com/search?dropmab=true&query=trump&sort=best","Trump’s Purge of the WatchdogsWhat a string of firings of inspectors general at government agencies reveals about presidential power.","https://www.nytimes.com/2020/05/19/podcasts/the-daily/inspector-general-firing-trump.html?searchResultPosition=17"
"1589957602-14501","https://www.nytimes.com/search?dropmab=true&query=trump&sort=best","For Trump, Lying Is a Super PowerHe will use deception to keep his bungled response to Covid-19 from ruining his re-election chances.By Charles M. BlowPRINT EDITIONFor Trump,  Lying Is a  Super Power|April 27, 2020, Page A23","https://www.nytimes.com/2020/04/26/opinion/trump-coronavirus.html?searchResultPosition=219"
"1589957602-14264","https://www.nytimes.com/search?dropmab=true&query=trump&sort=best","Outsider Tapped in Flynn Case Regarded as ‘Straight Arrow’John Gleeson, a retired federal judge and former mob prosecutor, will oppose the Justice Department’s move to drop a charge against President Trump’s former national security adviser.By Alan FeuerPRINT EDITIONOutsider Tapped in Flynn Case Was Prosecutor Who Put a Gotti in Prison|May 15, 2020, Page A21","https://www.nytimes.com/2020/05/14/us/politics/john-gleeson-michael-flynn.html?searchResultPosition=4"
"1589957602-14371","https://www.nytimes.com/search?dropmab=true&query=trump&sort=best","The Masked Versus the UnmaskedHow can Trump opponents take on people who will stop at nothing?By Roger CohenPRINT EDITIONThe Masked Against the Unmasked|May 16, 2020, Page A26","https://www.nytimes.com/2020/05/15/opinion/coronavirus-democracy.html?searchResultPosition=101"
"1589957602-14511","https://www.nytimes.com/search?dropmab=true&query=trump&sort=best","Online Retailers Spend Millions on Ads Backing Postal Service BailoutThe coalition, which includes Amazon, plans to pour $2 million into ads opposing President Trump’s call for higher package delivery rates and pressing for Congress to help the service.By Nicholas FandosPRINT EDITION$2 Million Ad Blitz Aims to Sour G.O.P. on Trump’s Post Office Plans|May 7, 2020, Page A23","https://www.nytimes.com/2020/05/06/us/politics/amazon-postal-service-bailout-coronavirus.html?searchResultPosition=228"
"1589957602-14472","https://www.nytimes.com/search?dropmab=true&query=trump&sort=best","As Supreme Court Mulls Dreamers, Kushner Revives Immigration PlanThe president’s son-in-law is hoping that a looming ruling will spur interest in his proposal, which is similar to one he tried to push last year.By Maggie Haberman and Zolan Kanno-YoungsPRINT EDITIONWith ‘Dreamers’ on Docket, a Visa Proposal Is Revived|March 6, 2020, Page A15","https://www.nytimes.com/2020/03/05/us/politics/immigration-kushner-trump-dreamers.html?searchResultPosition=193"
"1589957602-14399","https://www.nytimes.com/search?dropmab=true&query=trump&sort=best","Intelligence Officials Temper Russia Warnings, Prompting Accusations of Political InfluenceDemocrats said that the administration was trying to minimize Russian interference, but intelligence officials insisted that their assessments were based on facts.By Julian E. Barnes, Nicholas Fandos and Adam GoldmanPRINT EDITIONSecurity Officials Temper Reports of Russian Meddling|March 11, 2020, Page A5","https://www.nytimes.com/2020/03/10/us/politics/election-interference-briefing-trump.html?searchResultPosition=126"
"1589957602-14514","https://www.nytimes.com/search?dropmab=true&query=trump&sort=best","Have search feedback? Let us know what you think.","http://nyt.qualtrics.com/jfe/form/SV_ehZpyzWtbwO9HVj?v=b"
"1589957602-14269","https://www.nytimes.com/search?dropmab=true&query=trump&sort=best","Supreme Court Hints at Split Decision in Two Cases on Obtaining Trump’s Financial RecordsA majority of justices seemed skeptical of an effort by three House committees, but they seemed more sympathetic to the argument of the Manhattan district attorney.By Adam LiptakPRINT EDITIONJustices Hint at Split in 2 Cases on Trump Records |May 13, 2020, Page A1","https://www.nytimes.com/2020/05/12/us/supreme-court-trump-tax-returns.html?searchResultPosition=8"
"1589957602-14503","https://www.nytimes.com/search?dropmab=true&query=trump&sort=best","Polls Had Trump Stewing, and Lashing Out at His Own CampaignThe president erupted recently at his campaign manager, Brad Parscale, after seeing polling data that showed Mr. Trump trailing Joe Biden in several states.By Maggie Haberman and Annie KarniPRINT EDITIONTrump Attacks Own Campaign for Polls Slip|April 30, 2020, Page A20","https://www.nytimes.com/2020/04/29/us/politics/trump-campaign-reelection-polls.html?searchResultPosition=221"
"1589957602-14389","https://www.nytimes.com/search?dropmab=true&query=trump&sort=best","Changing Subject Amid a Pandemic, Trump Turns to an Old Ploy: Blame ObamaAfter pressure from the president, Senator Lindsey Graham agreed to hold a hearing, but he rebuffed Mr. Trump’s suggestion that his predecessor be called to testify.By Peter BakerPRINT EDITIONPresident Turns To an Old Ploy: Blame Obama|May 15, 2020, Page A1","https://www.nytimes.com/2020/05/14/us/politics/trump-obama.html?searchResultPosition=117"
"1589957602-14378","https://www.nytimes.com/search?dropmab=true&query=trump&sort=best","House Sends Trump Bill to Restrict War Powers on Iran, Setting Up VetoThe bipartisan measure amounts to an unusual rebuke of the president’s expansive war powers. President Trump has promised to veto it.By Catie EdmondsonPRINT EDITIONHouse Votes to Claw Back Power to Use Force on Iran|March 12, 2020, Page A8","https://www.nytimes.com/2020/03/11/us/politics/trump-iran-war-powers-congress.html?searchResultPosition=107"
